City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,prince rupert,54.3161,-130.3201,51.87,76,100,6.53,CA,1683868420
252,charters towers,-20.1,146.2667,76.01,51,78,16.15,AU,1683868437
253,newman,37.3138,-121.0208,66.43,74,0,4.0,US,1683868006
254,alofi,-19.0595,-169.9187,80.49,78,5,11.5,NU,1683867943
255,sultanah,24.4926,39.5857,81.05,12,0,3.44,SA,1683868437
256,broome,42.2506,-75.833,59.67,73,23,3.65,US,1683868437
257,ta`u,-14.2336,-169.5144,81.81,76,25,9.4,AS,1683867921
258,beidao,34.5686,105.8933,73.71,25,77,5.44,CN,1683868438
259,kotka,60.4664,26.9458,56.46,60,17,7.45,FI,1683868329
260,cristalina,-16.7686,-47.6136,59.95,79,50,4.38,BR,1683868216
261,zhongshu,24.5167,103.7667,58.95,83,100,5.66,CN,1683868438
262,puerto ayora,-0.7393,-90.3518,75.54,99,39,1.99,EC,1683867902
263,la foa,-21.7108,165.8276,76.24,62,99,10.33,NC,1683868439
264,novska,45.3406,16.9769,52.25,97,100,3.24,HR,1683868439
265,klaksvik,62.2266,-6.589,47.32,82,56,7.23,FO,1683868032
266,ondjiva,-17.0667,15.7333,60.26,41,24,5.12,AO,1683868439
267,nemuro,43.3236,145.575,44.74,76,20,11.12,JP,1683867960
268,tobol'sk,58.2,68.2667,44.37,37,10,4.27,RU,1683868183
269,nhamunda,-2.1861,-56.7131,73.94,98,99,1.86,BR,1683868440
270,pacific grove,36.6177,-121.9166,56.52,86,75,4.61,US,1683868440
271,tolanaro,-25.0319,46.9987,75.27,88,40,18.41,MG,1683867928
272,santa marta de ortigueira,43.6833,-7.85,56.25,82,87,1.01,ES,1683868440
273,tejen,37.3834,60.5054,83.95,27,11,10.87,TM,1683868441
274,yuzhno-kurilsk,44.0306,145.8556,46.17,66,17,1.12,RU,1683868033
275,xining,36.6167,101.7667,56.64,29,88,1.28,CN,1683868441
276,keflavik,64.0049,-22.5624,44.51,100,100,6.91,IS,1683867963
277,fortuna,40.5982,-124.1573,53.65,90,100,3.44,US,1683868006
278,island harbour,50.724,-1.2758,51.93,95,15,5.01,GB,1683868442
279,kidal,18.4411,1.4078,88.92,11,100,9.95,ML,1683868442
280,hermanus,-34.4187,19.2345,49.8,75,93,16.75,ZA,1683867893
281,ladario,-19.0047,-57.6017,69.64,71,90,3.42,BR,1683868443
282,margate,51.3813,1.3862,52.9,88,100,13.0,GB,1683867716
283,egersund,58.4513,5.9997,49.08,88,90,3.24,NO,1683868001
284,sinop,41.7711,34.8709,46.83,89,99,4.81,TR,1683867977
285,tres palos,18.1833,-101.6167,75.63,88,94,3.69,MX,1683868444
286,kodiak,57.79,-152.4072,42.31,87,100,14.97,US,1683867919
287,saipan,15.1355,145.701,92.1,100,40,8.01,MP,1683867948
288,galle,6.0367,80.217,82.18,84,100,13.11,LK,1683868444
289,phang nga,8.4509,98.5298,93.24,47,81,4.25,TH,1683868445
290,chernomorskoye,45.5039,32.6997,53.4,67,13,11.27,UA,1683868445
291,dudinka,69.4058,86.1778,7.63,90,78,15.28,RU,1683867910
292,mazamari,-11.3258,-74.5308,69.1,99,100,0.89,PE,1683868446
293,antofagasta,-23.65,-70.4,58.28,79,24,2.24,CL,1683868446
294,macheng,31.1783,115.0319,76.26,49,3,4.74,CN,1683868446
295,yuzhne,46.6221,31.1013,53.17,58,12,10.29,UA,1683868446
296,nova vicosa,-17.8919,-39.3719,74.82,85,98,4.34,BR,1683868447
297,qarayeri,40.7886,46.3066,58.08,94,100,11.5,AZ,1683868447
298,bodaybo,57.8506,114.1933,43.52,61,38,5.41,RU,1683868447
299,kokopo,-4.352,152.2633,79.36,88,99,3.67,PG,1683868448
300,ghadamis,30.1337,9.5007,73.69,21,0,17.09,LY,1683868448
301,sitka,57.0531,-135.33,47.59,93,100,4.65,US,1683867840
302,sao vicente,-23.9631,-46.3919,69.98,26,88,3.0,BR,1683868448
303,mana,5.6592,-53.7767,76.95,90,100,6.49,GF,1683868448
304,hadibu,12.65,54.0333,84.51,68,100,1.7,YE,1683868028
305,machakos,-1.5167,37.2667,62.55,85,24,1.23,KE,1683868449
306,fu'an,27.0892,119.6453,71.94,77,96,1.34,CN,1683868449
